Year,Month,948070417
1999,01,12.93
1999,02,12.33
1999,03,12.21
1999,04,13.85
1999,05,16.89
1999,06,19.23
1999,07,22.41
1999,08,22.74
1999,09,21.22
1999,10,21.34
1999,11,15.72
1999,12,13.39
2000,01,13.67
2000,02,13.33
2000,03,13.72
2000,04,16.98
2000,05,19.17
2000,06,21.64
2000,07,22.41
2000,08,24.22
2000,09,22.45
2000,10,18.11
2000,11,13.47
2000,12,13.59
2001,01,11
2001,02,10.99
2001,03,14.04
2001,04,14.1
2001,05,19.06
2001,06,21.07
2001,07,21.63
2001,08,23.21
2001,09,21.89
2001,10,19.23
2001,11,15.23
2001,12,11.2
2002,01,11.68
2002,02,13.43
2002,03,12.84
2002,04,15.34
2002,05,17.16
2002,06,20.14
2002,07,22.37
2002,08,22.15
2002,09,22.71
2002,10,17.16
2002,11,16.66
2002,12,11.8
2003,01,15.58
2003,02,12.93
2003,03,14.25
2003,04,14.03
2003,05,17.01
2003,06,18.82
2003,07,23.47
2003,08,24.46
2003,09,22.88
2003,10,20.94
2003,11,14.3
2003,12,11.98
2004,01,12.35
2004,02,11.63
2004,03,16.56
2004,04,16.75
2004,05,19.27
2004,06,19.87
2004,07,22.77
2004,08,22.34
2004,09,22.92
2004,10,17.83
2004,11,13.4
2004,12,12.21
2005,01,12.7
2005,02,12.69
2005,03,14.43
2005,04,15.68
2005,05,18.27
2005,06,18.97
2005,07,23.47
2005,08,23.61
2005,09,20.51
2005,10,18.6
2005,11,16.46
2005,12,13.31
2006,01,12.14
2006,02,13.49
2006,03,11.01
2006,04,14.28
2006,05,18.06
2006,06,22.66
2006,07,26.21
2006,08,23.91
2006,09,23.22
2006,10,18.07
2006,11,17.03
2006,12,12.83
2007,01,10.76
2007,02,12.72
2007,03,15.07
2007,04,15.34
2007,05,18.26
2007,06,20.09
2007,07,23.22
2007,08,25.2
2007,09,21.87
2007,10,19.74
2007,11,16.78
2007,12,11.89
2008,01,11.69
2008,02,12.37
2008,03,13.83
2008,04,16.64
2008,05,17.12
2008,06,21.78
2008,07,23.56
2008,08,24.6
2008,09,23.68
2008,10,21.2
2008,11,18.41
2008,12,12.01
2009,01,15.12
2009,02,11.8
2009,03,13.43
2009,04,15.66
2009,05,19.69
2009,06,18.96
2009,07,23.95
2009,08,24.14
2009,09,24.39
2009,10,18.76
2009,11,16.04
2009,12,11.83
2010,01,13.45
2010,02,12.34
2010,03,13.49
2010,04,13.64
2010,05,16.09
2010,06,18.74
2010,07,21.47
2010,08,23.09
2010,09,22.17
2010,10,18.17
2010,11,14.74
2010,12,13.08
2011,01,13.35
2011,02,10.89
2011,03,13.35
2011,04,15.64
2011,05,16.34
2011,06,18.36
2011,07,22.16
2011,08,23.17
2011,09,21.87
2011,10,19.35
2011,11,14.01
2011,12,11.31
2012,01,14.54
2012,02,12.59
2012,03,12.85
2012,04,15.57
2012,05,17.68
2012,06,19.2
2012,07,21.75
2012,08,25.16
2012,09,24.67
2012,10,20.48
2012,11,16.14
2012,12,12.21
2013,01,11.52
2013,02,11.58
2013,03,15.11
2013,04,16
2013,05,18.86
2013,06,20.5
2013,07,22.84
2013,08,22.87
2013,09,23.16
2013,10,18.2
2013,11,15.92
2013,12,13.47
2014,01,15.82
2014,02,14.4
2014,03,15.58
2014,04,16.69
2014,05,20.13
2014,06,20.4
2014,07,23.48
2014,08,23.73
2014,09,24.48
