Year,Month,20332660
1999,01,65.56
1999,02,24.82
1999,03,24.75
1999,04,73.69
1999,05,1.66
1999,06,11.31
1999,07,2.46
1999,08,0.4
1999,09,5.24
1999,10,0
1999,11,1.29
1999,12,11.37
2000,01,24.23
2000,02,147.89
2000,03,49.35
2000,04,34.83
2000,05,3.06
2000,06,0.51
2000,07,0
2000,08,5.77
2000,09,7.53
2000,10,27.45
2000,11,20.37
2000,12,1.36
2001,01,89
2001,02,108.71
2001,03,51.24
2001,04,52.76
2001,05,3.66
2001,06,0
2001,07,1.91
2001,08,0.02
2001,09,0.4
2001,10,0.41
2001,11,29.57
2001,12,37.45
2002,01,14.11
2002,02,6.18
2002,03,41.3
2002,04,15.09
2002,05,0.49
2002,06,0.14
2002,07,3.31
2002,08,0
2002,09,9.54
2002,10,1.23
2002,11,72.14
2002,12,60.15
2003,01,6
2003,02,141.25
2003,03,78.81
2003,04,58.78
2003,05,28.31
2003,06,3.05
2003,07,2.95
2003,08,13.29
2003,09,1.33
2003,10,0
2003,11,34.8
2003,12,43.59
2004,01,10.99
2004,02,123.68
2004,03,15.62
2004,04,31.05
2004,05,1.08
2004,06,0.57
2004,07,0.55
2004,08,1.4
2004,09,1.45
2004,10,196.83
2004,11,29.97
2004,12,86.34
2005,01,169.75
2005,02,161.89
2005,03,50.52
2005,04,40.53
2005,05,8.15
2005,06,0.96
2005,07,6.24
2005,08,4.02
2005,09,3.24
2005,10,47.2
2005,11,2.28
2005,12,3.01
2006,01,38.59
2006,02,46.23
2006,03,105.11
2006,04,65.62
2006,05,10.7
2006,06,0.86
2006,07,4.93
2006,08,1.64
2006,09,3.29
2006,10,15.72
2006,11,11.77
2006,12,31.58
2007,01,21.06
2007,02,70.55
2007,03,15.48
2007,04,18.04
2007,05,1.45
2007,06,0.47
2007,07,0.14
2007,08,4.6
2007,09,3.57
2007,10,5.58
2007,11,13.72
2007,12,88.43
2008,01,171.45
2008,02,97.08
2008,03,8.14
2008,04,1.4
2008,05,14.74
2008,06,8.02
2008,07,0.4
2008,08,3.94
2008,09,1.34
2008,10,2.06
2008,11,48.79
2008,12,136.74
2009,01,4.57
2009,02,114.47
2009,03,3.65
2009,04,8.83
2009,05,0.29
2009,06,0.29
2009,07,0.15
2009,08,0
2009,09,13.95
2009,10,3.39
2009,11,21.54
2009,12,108.27
2010,01,142.49
2010,02,112.73
2010,03,25.26
2010,04,62.87
2010,05,0.56
2010,06,0.18
2010,07,1.48
2010,08,0.33
2010,09,4.09
2010,10,82.74
2010,11,52.09
2010,12,219.44
2011,01,24.04
2011,02,118.42
2011,03,61.51
2011,04,14.29
2011,05,24.47
2011,06,1.7
2011,07,5.22
2011,08,1.04
2011,09,3.75
2011,10,19.49
2011,11,90.19
2011,12,27.22
2012,01,22.83
2012,02,49.51
2012,03,66.45
2012,04,62.29
2012,05,0.91
2012,06,0
2012,07,0.8
2012,08,1.81
2012,09,3.09
2012,10,12.49
2012,11,11.44
2012,12,74.52
2013,01,48.68
2013,02,30.32
2013,03,39.68
2013,04,2.84
2013,05,13.7
2013,06,0
2013,07,4.8
2013,08,1.58
2013,09,5.51
2013,10,35.77
2013,11,16.03
2013,12,23.74
2014,01,4.91
2014,02,25.24
2014,03,74.2
2014,04,25.18
2014,05,0.05
2014,06,0
2014,07,2.26
2014,08,14
2014,09,3.52
