Year,Month,10000690
1949,01,6.79
1949,02,11.52
1949,03,15.71
1949,04,22.76
1949,05,25.1
1949,06,30.85
1949,07,33.82
1949,08,33.11
1949,09,32.03
1949,10,21.94
1949,11,19.09
1949,12,11.06
1950,01,10.13
1950,02,16.09
1950,03,18.67
1950,04,23.55
1950,05,24.87
1950,06,29.85
1950,07,32.92
1950,08,33.64
1950,09,29.07
1950,10,25.54
1950,11,18.99
1950,12,14.48
1951,01,11.82
1951,02,13.65
1951,03,16.92
1951,04,21.21
1951,05,25.97
1951,06,29.39
1951,07,34.29
1951,08,32.35
1951,09,30.95
1951,10,23.06
1951,11,15.4
1951,12,11.43
1952,01,10.12
1952,02,13.56
1952,03,14.68
1952,04,21.42
1952,05,28.09
1952,06,29.47
1952,07,33.85
1952,08,34.57
1952,09,31.25
1952,10,26.49
1952,11,14.56
1952,12,11.12
1953,01,13.77
1953,02,13.27
1953,03,17.79
1953,04,20.78
1953,05,22.74
1953,06,30.48
1953,07,35.22
1953,08,33.54
1953,09,30.74
1953,10,23.41
1953,11,17.5
1953,12,11.43
1954,01,11.88
1954,02,17.92
1954,03,16.52
1954,04,24.03
1954,05,27.26
1954,06,30.15
1954,07,34.86
1954,08,32.6
1954,09,30.74
1954,10,24.42
1954,11,18
1954,12,11.72
1955,01,9.96
1955,02,11.65
1955,03,17.08
1955,04,20.15
1955,05,24.75
1955,06,30.3
1955,07,32.68
1955,08,32.84
1955,09,30.3
1955,10,25.66
1955,11,16.5
1955,12,13.21
1956,01,13.54
1956,02,11.72
1956,03,17.91
1956,04,20.78
1956,05,26.11
1956,06,31.81
1956,07,33.69
1956,08,32.84
1956,09,32.13
1956,10,22.48
1956,11,15.22
1956,12,12.55
1957,01,11.81
1957,02,17.33
1957,03,18.46
1957,04,21.42
1957,05,24.13
1957,06,32.12
1957,07,34.86
1957,08,32.65
1957,09,30.55
1957,10,22.27
1957,11,14.55
1957,12,13.04
1958,01,12.66
1958,02,15.89
1958,03,15.48
1958,04,21.36
1958,05,28.89
1958,06,31.26
1958,07,33.93
1958,08,34.35
1958,09,30.77
1958,10,25.62
1958,11,16.19
1958,12,14.22
1959,01,13.09
1959,02,13.28
1959,03,19.05
1959,04,24.17
1959,05,25.54
1959,06,32.75
1959,07,35.76
1959,08,33.31
1959,09,29.15
1959,10,24.21
1959,11,16.89
1959,12,12.39
1960,01,10.06
1960,02,13.04
1960,03,19.65
1960,04,22.64
1960,05,26.17
1960,06,33.04
1960,07,34.98
1960,08,33.95
1960,09,31.14
1960,10,23.19
1960,11,16.11
1960,12,10.98
1961,01,13.17
1961,02,15.41
1961,03,17.74
1961,04,22.36
1961,05,25.22
1961,06,32.43
1961,07,34.47
1961,08,33.63
1961,09,28.31
1961,10,22.68
1961,11,14.79
1961,12,11.47
1962,01,12.29
1962,02,14.81
1962,03,15.03
1962,04,24.7
1962,05,24.26
1962,06,30.18
1962,07,33.59
1962,08,34.92
1962,09,31.07
1962,10,23.78
1962,11,18.3
1962,12,13.12
1963,01,10.26
1963,02,18
1963,03,16.91
1963,04,19.4
1963,05,26.81
1963,06,28.6
1963,07,33.84
1963,08,33.1
1963,09,30.7
1963,10,24.9
1963,11,16.82
1963,12,11.43
1964,01,9.92
1964,02,12.15
1964,03,16.03
1964,04,20.2
1964,05,24.74
1964,06,29.61
1964,07,34.37
1964,08,33.27
1964,09,29.15
1964,10,26.24
1964,11,14.33
1964,12,12.21
1965,01,12.84
1965,02,14.33
1965,03,15.95
1965,04,20.83
1965,05,24.65
1965,06,27.64
1965,07,33.7
1965,08,33.81
1965,09,27.96
1965,10,25
1965,11,17.51
1965,12,11.76
1966,01,9.97
1966,02,12.13
1966,03,18.13
1966,04,22.72
1966,05,27.64
1966,06,30.95
1966,07,34.09
1966,08,34.31
1966,09,30.27
1966,10,22.89
1966,11,17.19
1966,12,12.83
1967,01,12.1
1967,02,15.19
1967,03,18.22
1967,04,17.64
1967,05,25.38
1967,06,28.8
1967,07,34.9
1967,08,34.66
1967,09,29.4
1967,10,24.68
1967,11,18.56
1967,12,10.52
1968,01,12.04
1968,02,17.56
1968,03,18.61
1968,04,20.84
1968,05,26.11
1968,06,30.66
1968,07,33.62
1968,08,31.61
1968,09,29.78
1968,10,23.55
1968,11,16.92
1968,12,9.5
1969,01,14.22
1969,02,13.34
1969,03,16.42
1969,04,21.95
1969,05,27.46
1969,06,29.21
1969,07,34.56
1969,08,36.07
1969,09,31.45
1969,10,21.6
1969,11,16.97
1969,12,12.83
1970,01,11.47
1970,02,15.86
1970,03,16.58
1970,04,18.74
1970,05,26.63
1970,06,31.4
1970,07,35.22
1970,08,34.41
1970,09,28.87
1970,10,21.64
1970,11,16.56
1970,12,10.97
1971,01,11.66
1971,02,14.7
1971,03,18.09
1971,04,20.44
1971,05,23.6
1971,06,30.01
1971,07,34.81
1971,08,33.37
1971,09,29.42
1971,10,20.39
1971,11,14.98
1971,12,10.08
1972,01,10.19
1972,02,15.06
1972,03,21.47
1972,04,22.09
1972,05,26.3
1972,06,31.49
1972,07,35.49
1972,08,32.79
1972,09,29.58
1972,10,21.78
1972,11,14.47
1972,12,10.77
1973,01,10.6
1973,02,14.16
1973,03,15.02
1973,04,20.46
1973,05,27.24
1973,06,32
1973,07,34.57
1973,08,33.29
1973,09,28.95
1973,10,23.43
1973,11,15.78
1973,12,12.62
1974,01,11.47
1974,02,13.78
1974,03,18.31
1974,04,21.49
1974,05,26.47
1974,06,33.13
1974,07,33.76
1974,08,32.91
1974,09,31.1
1974,10,23.94
1974,11,16.53
1974,12,10.61
1975,01,11.62
1975,02,13.02
1975,03,15.76
1975,04,17.44
1975,05,24.64
1975,06,30.04
1975,07,34.27
1975,08,33.5
1975,09,30.67
1975,10,22.6
1975,11,16.52
1975,12,12.66
1976,01,12.72
1976,02,15.39
1976,03,16.46
1976,04,19.82
1976,05,26.78
1976,06,30.39
1976,07,33.25
1976,08,31.96
1976,09,27.53
1976,10,22.86
1976,11,17.3
1976,12,11.74
1977,01,12.05
1977,02,15.59
1977,03,15.08
1977,04,22.15
1977,05,22.4
