Year,Month,10001010
1949,01,78.37
1949,02,0.15
1949,03,0.13
1949,04,0.6
1949,05,0
1949,06,0
1949,07,0.11
1949,08,10.85
1949,09,0.59
1949,10,9.7
1949,11,2.48
1949,12,5.32
1950,01,0.22
1950,02,1.95
1950,03,11.42
1950,04,0
1950,05,0
1950,06,0
1950,07,13.02
1950,08,0.87
1950,09,2.39
1950,10,0
1950,11,0
1950,12,0
1951,01,18.42
1951,02,0.01
1951,03,0
1951,04,18.09
1951,05,5.78
1951,06,0
1951,07,3.65
1951,08,139.07
1951,09,0.33
1951,10,14.95
1951,11,16.37
1951,12,5.43
1952,01,11.22
1952,02,2.36
1952,03,30.39
1952,04,20.64
1952,05,0
1952,06,18.65
1952,07,6.85
1952,08,3.21
1952,09,2.77
1952,10,0
1952,11,13.66
1952,12,30.62
1953,01,0.04
1953,02,2.99
1953,03,3.73
1953,04,0
1953,05,0.12
1953,06,0
1953,07,3.36
1953,08,6.02
1953,09,0
1953,10,0
1953,11,0.02
1953,12,2.07
1954,01,25.52
1954,02,0.03
1954,03,23.22
1954,04,0
1954,05,0
1954,06,0
1954,07,6.48
1954,08,7.72
1954,09,5.27
1954,10,2.1
1954,11,0.02
1954,12,0.03
1955,01,38.17
1955,02,0.02
1955,03,0
1955,04,0.98
1955,05,0
1955,06,0
1955,07,2.88
1955,08,48.23
1955,09,0
1955,10,0.17
1955,11,0.05
1955,12,0.19
1956,01,0
1956,02,2.61
1956,03,0
1956,04,0.12
1956,05,0
1956,06,0
1956,07,12.13
1956,08,0.1
1956,09,0.07
1956,10,0.3
1956,11,0
1956,12,0
1957,01,23.27
1957,02,1.09
1957,03,0.15
1957,04,2.68
1957,05,0.48
1957,06,0.68
1957,07,6.48
1957,08,26.52
1957,09,0
1957,10,41.47
1957,11,1.29
1957,12,3.26
1958,01,2.07
1958,02,40.37
1958,03,17.71
1958,04,8.87
1958,05,2.15
1958,06,0.03
1958,07,2.03
1958,08,31.42
1958,09,1.48
1958,10,3.41
1958,11,2.33
1958,12,0
1959,01,2.09
1959,02,14.67
1959,03,0
1959,04,0.68
1959,05,0
1959,06,0.49
1959,07,2.55
1959,08,31.93
1959,09,8.18
1959,10,12.78
1959,11,0.28
1959,12,50.35
1960,01,12.96
1960,02,8.31
1960,03,6.28
1960,04,0.94
1960,05,0.01
1960,06,0
1960,07,3.23
1960,08,8.61
1960,09,26.25
1960,10,1.07
1960,11,9.94
1960,12,0.12
1961,01,5.23
1961,02,0
1961,03,1.02
1961,04,0.09
1961,05,0
1961,06,0
1961,07,2.83
1961,08,14.85
1961,09,0.21
1961,10,0
1961,11,1.81
1961,12,20.27
1962,01,21.74
1962,02,8.52
1962,03,1.96
1962,04,0
1962,05,0.03
1962,06,0.29
1962,07,0.55
1962,08,6.03
1962,09,0.54
1962,10,0.04
1962,11,0.12
1962,12,15.7
1963,01,10.88
1963,02,7.22
1963,03,4.24
1963,04,0.51
1963,05,0
1963,06,0
1963,07,0
1963,08,27.66
1963,09,43.05
1963,10,30.4
1963,11,17.87
1963,12,0
1964,01,0.1
1964,02,3.3
1964,03,8.8
1964,04,2.41
1964,05,0.29
1964,06,1.17
1964,07,2.19
1964,08,1.1
1964,09,0.02
1964,10,3.19
1964,11,11.46
1964,12,3.45
1965,01,4.72
1965,02,3.18
1965,03,10.74
1965,04,61.44
1965,05,0.43
1965,06,0
1965,07,2.74
1965,08,6.97
1965,09,0.9
1965,10,0
1965,11,24.28
1965,12,58.86
1966,01,27.63
1966,02,3.39
1966,03,9.74
1966,04,0.51
1966,05,0
1966,06,0
1966,07,9.97
1966,08,3.89
1966,09,3.68
1966,10,35.46
1966,11,9.58
1966,12,5.39
1967,01,6.67
1967,02,0
1967,03,6.43
1967,04,2.02
1967,05,0.14
1967,06,0.02
1967,07,1.78
1967,08,36.65
1967,09,26.24
1967,10,0
1967,11,15.89
1967,12,27.72
1968,01,0.04
1968,02,2.77
1968,03,7.45
1968,04,0.77
1968,05,0
1968,06,0
1968,07,17.12
1968,08,0.73
1968,09,0
1968,10,12.95
1968,11,0.91
1968,12,4.5
1969,01,30.98
1969,02,1.77
1969,03,1.07
1969,04,0
1969,05,1.03
1969,06,0.24
1969,07,17.65
1969,08,11.82
1969,09,14.9
1969,10,4.71
1969,11,20.31
1969,12,1.68
1970,01,3.69
1970,02,13.81
1970,03,38.15
1970,04,0.13
1970,05,0
1970,06,0
1970,07,2.31
1970,08,36.83
1970,09,0.49
1970,10,0.42
1970,11,1.46
1970,12,2.44
1971,01,0.62
1971,02,0.31
1971,03,0.38
1971,04,0.89
1971,05,0.54
1971,06,0
1971,07,0.24
1971,08,35.31
1971,09,21.47
1971,10,1.93
1971,11,0
1971,12,1.4
1972,01,0
1972,02,0
1972,03,0
1972,04,0
1972,05,0.06
1972,06,18.24
1972,07,2.85
1972,08,7.19
1972,09,1.05
1972,10,55.88
1972,11,14.67
1972,12,0.86
1973,01,2.38
1973,02,28.43
1973,03,25.94
1973,04,0
1973,05,0.29
1973,06,0.01
1973,07,0.02
1973,08,15.69
1973,09,0
1973,10,0
1973,11,3.85
1973,12,0
1974,01,21.54
1974,02,0
1974,03,7.67
1974,04,0
1974,05,0
1974,06,0
1974,07,3.33
1974,08,8.63
1974,09,0.03
1974,10,19.31
1974,11,0.21
1974,12,17.98
1975,01,1.02
1975,02,1.59
1975,03,4.69
1975,04,9.25
1975,05,0
1975,06,0
1975,07,9.02
1975,08,0.27
1975,09,20.48
1975,10,0.69
1975,11,1.48
1975,12,2.28
1976,01,0.16
1976,02,52.27
1976,03,0.18
1976,04,11.64
1976,05,0.19
1976,06,0
1976,07,13.11
1976,08,0.07
1976,09,68.85
1976,10,3.29
1976,11,1.23
1976,12,4.95
1977,01,6.79
1977,02,0
1977,03,3.03
1977,04,0.29
1977,05,3.33
1977,06,0.47
1977,07,2.67
1977,08,32.16
1977,09,17.96
1977,10,3.21
1977,11,0.04
1977,12,8.82
1978,01,63.61
1978,02,22.32
1978,03,11.95
1978,04,3.23
1978,05,1.39
1978,06,0
1978,07,1.75
1978,08,29.9
1978,09,0.11
1978,10,40.19
1978,11,18.4
1978,12,27.18
1979,01,36.07
1979,02,3.56
1979,03,20.9
1979,04,0
1979,05,8.47
1979,06,0.01
1979,07,11.36
1979,08,32.3
1979,09,8.27
1979,10,0.98
1979,11,0
1979,12,6.51
1980,01,27.2
1980,02,48.31
1980,03,19.3
1980,04,9.61
1980,05,4.05
1980,06,0.05
1980,07,3.43
1980,08,32.21
1980,09,3.53
1980,10,0.6
1980,11,0
1980,12,1.06
1981,01,1.87
1981,02,5.19
1981,03,25.95
1981,04,0
1981,05,2.51
1981,06,0.6
1981,07,1.97
1981,08,18.54
1981,09,2.31
1981,10,1.96
1981,11,4.99
1981,12,0
1982,01,3.47
1982,02,5.99
1982,03,20.65
1982,04,0
1982,05,6.03
1982,06,0
1982,07,7.28
1982,08,34.91
